year,level_1,level_2,level_3,level_4,value
2015,Married,Females,Total,Serangoon,30.3
2015,Married,Females,Total,Tampines,65.4
2015,Married,Females,Total,Tanglin,4.8
2015,Married,Females,Total,Toa Payoh,28.8
2015,Married,Females,Total,Woodlands,60.5
2015,Married,Females,Total,Yishun,51.1
2015,Married,Females,Total,Others,8.8
2015,Widowed,Total,Total,Ang Mo Kio,10.5
2015,Widowed,Total,Total,Bedok,15.4
2015,Widowed,Total,Total,Bishan,4.3
2015,Widowed,Total,Total,Bukit Batok,6.2
2015,Widowed,Total,Total,Bukit Merah,10.6
2015,Widowed,Total,Total,Bukit Panjang,4.4
2015,Widowed,Total,Total,Bukit Timah,1.8
2015,Widowed,Total,Total,Choa Chu Kang,6.1
2015,Widowed,Total,Total,Clementi,5.4
2015,Widowed,Total,Total,Geylang,6.3
2015,Widowed,Total,Total,Hougang,9.3
2015,Widowed,Total,Total,Jurong East,4
2015,Widowed,Total,Total,Jurong West,10.3
2015,Widowed,Total,Total,Kallang,6.3
2015,Widowed,Total,Total,Marine Parade,2.4
2015,Widowed,Total,Total,Novena,1.7
2015,Widowed,Total,Total,Outram,1.3
2015,Widowed,Total,Total,Pasir Ris,4.3
2015,Widowed,Total,Total,Punggol,3
2015,Widowed,Total,Total,Queenstown,6.7
2015,Widowed,Total,Total,Sembawang,2.3
2015,Widowed,Total,Total,Sengkang,5.8
2015,Widowed,Total,Total,Serangoon,6.4
2015,Widowed,Total,Total,Tampines,11.8
2015,Widowed,Total,Total,Tanglin,0.6
2015,Widowed,Total,Total,Toa Payoh,7.1
2015,Widowed,Total,Total,Woodlands,7.8
2015,Widowed,Total,Total,Yishun,8.3
2015,Widowed,Total,Total,Others,1.6
2015,Widowed,Males,Total,Ang Mo Kio,2.1
2015,Widowed,Males,Total,Bedok,2.7
2015,Widowed,Males,Total,Bishan,0.9
2015,Widowed,Males,Total,Bukit Batok,1.1
2015,Widowed,Males,Total,Bukit Merah,1.5
2015,Widowed,Males,Total,Bukit Panjang,0.6
2015,Widowed,Males,Total,Bukit Timah,0.3
2015,Widowed,Males,Total,Choa Chu Kang,1
2015,Widowed,Males,Total,Clementi,1.1
2015,Widowed,Males,Total,Geylang,0.8
2015,Widowed,Males,Total,Hougang,1.5
